temperature,replicate_count,mean_energy_per_spin_mean,mean_energy_per_spin_sample_sd,mean_energy_per_spin_sem,mean_signed_magnetisation_mean,mean_signed_magnetisation_sample_sd,mean_signed_magnetisation_sem,mean_absolute_magnetisation_mean,mean_absolute_magnetisation_sample_sd,mean_absolute_magnetisation_sem,susceptibility_signed_per_spin_mean,susceptibility_signed_per_spin_sample_sd,susceptibility_signed_per_spin_sem,susceptibility_absolute_centred_per_spin_mean,susceptibility_absolute_centred_per_spin_sample_sd,susceptibility_absolute_centred_per_spin_sem,specific_heat_per_spin_mean,specific_heat_per_spin_sample_sd,specific_heat_per_spin_sem,mean_acceptance_fraction_mean,mean_acceptance_fraction_sample_sd,mean_acceptance_fraction_sem
1.5,5,-1.9505780000000001,0.0011915095467513956,0.0005328592684752168,0.9863444999999998,0.00042101959574347334,0.0001882856871883775,0.9863444999999998,0.00042101959574347334,0.0001882856871883775,0.029107470333364915,0.0028866227196036303,0.0012909369252858064,0.029107470333364915,0.0028866227196036303,0.0012909369252858064,0.2081084728889271,0.012699361650971191,0.005679327184485108,0.013466250000000003,0.00024166576867649337,0.00010807621731907571
1.7,5,-1.897718,0.0028371389638155785,0.00126880711694099,0.969898,0.0010813466719790325,0.0004835929331576567,0.969898,0.0010813466719790325,0.0004835929331576567,0.07119744647055395,0.014655127322040473,0.006553972182199389,0.07119744647055395,0.014655127322040473,0.006553972182199389,0.3437166768165868,0.01947898554945976,0.008711267164265622,0.02916375,0.0006171323551313765,0.0002759899794376598
1.9,5,-1.8113560000000004,0.004075885486615158,0.0018227914033152606,0.9387624999999999,0.002276736287978916,0.0010181874213522786,0.9387624999999999,0.002276736287978916,0.0010181874213522786,0.214211425526307,0.04068331126516574,0.018194129907738714,0.214211425526307,0.04068331126516574,0.018194129907738714,0.5748178382271367,0.03225338203118855,0.014424150945201566,0.05703525,0.001197468814834021,0.0005355243341809958
2.05,5,-1.71328,0.007808850747709253,0.0034922242196055897,0.8968375000000002,0.006171134923982774,0.0027598154376696957,0.8968375000000002,0.006171134923982774,0.0027598154376696957,0.50318629634144,0.20511083740018346,0.09172835506974329,0.50318629634144,0.20511083740018346,0.09172835506974329,0.8171230534205931,0.060680224165278414,0.02713702122469759,0.09059375,0.0022766156694202936,0.001018133479092993
2.1,5,-1.663516,0.006236719289819019,0.0027891456577239077,0.8702425,0.0056036224333015075,0.0025060161362209904,0.8702425,0.0056036224333015075,0.0025060161362209904,0.8077339478571334,0.26392405636455696,0.11803042618572707,0.8077339478571334,0.26392405636455696,0.11803042618572707,0.9189097877551194,0.06734363549228475,0.030116989362543242,0.107988,0.0019458028950153203,0.0008701895088140285
2.15,5,-1.6146249999999998,0.015380839947805031,0.006878520734867273,0.845798,0.010807957774251305,0.0048334656562346485,0.845798,0.010807957774251305,0.0048334656562346485,0.8670760251162765,0.17662405022421634,0.07898867655253694,0.8670760251162765,0.17662405022421634,0.07898867655253694,0.9855189343428833,0.08288422925979846,0.037066954177517285,0.125451,0.004915960406548244,0.0021984843287478754
2.2,5,-1.5450940000000002,0.017620287100385053,0.007880031947904728,0.784993,0.026972053499872767,0.012062269023695324,0.785116,0.026888047739655613,0.012024700505625903,3.4059257481818106,1.7392806479412848,0.7778299521493185,3.3714705190909102,1.7016315977665093,0.7609927850534988,1.399910045454543,0.1989768501054315,0.0889851525569062,0.1510265,0.00580822459696162,0.0025975170054784997
2.23,5,-1.511786,0.024432726106597195,0.010926647289997019,0.4491875,0.6944895016305143,0.3105851470611562,0.7697785000000001,0.03767158899621834,0.016847246763195454,3.8975359719730855,4.3290552252929695,1.9360123524211492,2.8083317567264485,1.958635462708907,0.875928407551774,1.3211835122363098,0.27776839816007587,0.12422180405743143,0.16323400000000002,0.00914071896960244,0.004087853795850578
2.25,5,-1.4594839999999998,0.046948649794216556,0.020996074478339944,0.25943400000000005,0.6058561956840501,0.27094712762779016,0.6942809999999999,0.07548668693882388,0.033758672678291135,28.485577913777767,34.5747876232897,15.462315086658831,6.151477531555546,3.739935463430089,1.6725499855383714,1.5897373368888978,0.40799333078203825,0.18246016439903898,0.182704,0.017188000479076957,0.007686707493703005
2.269185314213022,5,-1.452277,0.032074986866715935,0.014344370202277962,0.11809049999999999,0.7755293761147124,0.3468272807080997,0.7065035000000001,0.04924935762905943,0.02202498230135495,5.787167849292363,3.999966983017636,1.788839616356436,4.732061755927594,2.5653988820758404,1.1472812579447091,1.460672273539891,0.29500675503950585,0.13193103161799274,0.185701,0.011565973714683514,0.005172460690401619
2.29,5,-1.403771,0.03036797540172873,0.013580971467461383,-0.329185,0.2662485537167292,0.11906997300432214,0.645732,0.050506919278451315,0.02258738096814235,51.00712347423581,29.458225745342887,13.17411905262422,6.6512847266375505,1.787007942610432,0.7991742472017938,1.6177173139337504,0.1189169242298051,0.0531812652506072,0.20445425,0.010984901804579327,0.004912597432239897
2.32,5,-1.3504679999999998,0.043725656884717,0.01955470823101178,0.26209150000000003,0.36861306401750743,0.16484877370752565,0.5707745000000001,0.10560399852455875,0.04722754387934017,35.4916802338362,28.580977873244365,12.781801877598353,8.36877224935343,2.6503982210634294,1.1852941179484686,1.6026259304399595,0.09686066075468812,0.04331740435860574,0.22429875000000005,0.015916687808122946,0.007118159183121007
2.35,5,-1.307705,0.034337999177296206,0.015356420074353233,0.01728650000000001,0.273638998331972,0.1223750803130482,0.5316985,0.058472259678201244,0.02614958948769559,47.17236226234042,19.394677273840923,8.673563357195722,8.834143570425525,0.7135560940145609,0.31911198639515775,1.615203579900406,0.22036436128649659,0.09854993833098587,0.24096275,0.012622488500192815,0.005644948466328101
2.4,5,-1.241605,0.010488662331298533,0.0046906723931649874,0.148326,0.2510045313809095,0.11225263896563856,0.4664849999999999,0.023604364135684733,0.010556192554609826,32.40092715083334,7.728132752012892,3.4561260345286704,8.125799495000004,0.5858940458437751,0.26201978282381183,1.3200836350694418,0.07337299011612837,0.03281339872241664,0.2676305,0.0038740236269929887,0.0017325160352793223
2.5,5,-1.11706,0.023482933696623208,0.010501887211353983,0.0668965,0.044632790622478456,0.019960390771475395,0.3073705,0.06172598759841758,0.02760470084967414,20.753004318200002,7.296528401855161,3.2631067012612083,6.1200616310000004,1.2067875464932798,0.5396917976718323,0.9658366630400043,0.16942567925704405,0.0757694671905653,0.31881475,0.00953753822895349,0.004265316763588591
2.7,5,-0.9633809999999998,0.004374090476887775,0.0019561527292111074,-0.0379915,0.010922902916578542,0.004884870686620067,0.1956535,0.00710574340762457,0.003177785058023907,8.451013419444445,0.560974782219684,0.25087554934127076,3.0018455061111116,0.1688161810693212,0.07549689131458306,0.607265443347052,0.027887737399597382,0.012471775312832592,0.3882115,0.0022531071254492207,0.0010076201386187208
3.0,5,-0.817689,0.005102649311877096,0.0022819741453399423,-0.016191500000000004,0.00772458283663267,0.0034545384641077605,0.13500649999999997,0.0057293617663750195,0.0025622484754605625,3.777364331166667,0.24357472988689163,0.10892993072564787,1.3849489318333337,0.10893284112667796,0.048716247548287336,0.39386665133333737,0.011707321810450432,0.005235673480526615,0.46115700000000004,0.0017856164901792718,0.0007985519707570874
3.5,5,-0.6599579999999999,0.004825135490325648,0.002157866191402985,0.0009000000000000001,0.008653151701836736,0.0038698070849849863,0.099904,0.00592187749999947,0.002648344128885065,1.7802152425714286,0.22264089235903317,0.09956803397720233,0.6432835288571427,0.09396569300839268,0.042022735423928544,0.2498074347755102,0.013158098160479395,0.005884480388289373,0.5474505,0.0015696311270485877,0.0007019603799360501
