temperature,seed,initial_state,mean_energy_per_spin,mean_signed_magnetisation,mean_absolute_magnetisation,mean_acceptance_fraction
1.5,23100,random,-1.951575,-0.9867199999999999,0.9867199999999999,0.013361250000000002
2.269185314213022,23101,random,-1.46222,0.7354525,0.7354525,0.18147875
3.5,23102,random,-0.66369,-0.007984999999999999,0.10725,0.54818125
