replicate,temperature,seed,mean_energy_per_spin,mean_signed_magnetisation,mean_absolute_magnetisation,susceptibility_signed_per_spin,susceptibility_absolute_centred_per_spin,specific_heat_per_spin,mean_acceptance_fraction,first_half_mean_energy_per_spin,second_half_mean_energy_per_spin,first_half_mean_absolute_magnetisation,second_half_mean_absolute_magnetisation,signed_sector_switches
0,1.5,23000,-1.951135,0.9866199999999999,0.9866199999999999,0.026960160000003935,0.026960160000003935,0.20713987111113966,0.013263750000000001,-1.9555,-1.94677,0.9879399999999999,0.9853,0
0,1.7,23001,-1.897165,0.9699175,0.9699175,0.06153663382347992,0.06153663382347992,0.33190488235295473,0.02906875,-1.8964,-1.89793,0.96956,0.9702750000000001,0
0,1.9,23002,-1.818445,0.9426825,0.9426825,0.14988246184210435,0.14988246184210435,0.5225187783933134,0.054935000000000005,-1.82073,-1.81616,0.943415,0.9419500000000001,0
0,2.05,23003,-1.7135550000000002,0.9003150000000001,0.9003150000000001,0.37514161463413653,0.37514161463413653,0.8303259464604354,0.09006874999999999,-1.72244,-1.7046700000000001,0.903545,0.897085,0
0,2.1,23004,-1.66365,0.8652425,0.8652425,1.2428816559523796,1.2428816559523796,0.9996351473922844,0.10817750000000001,-1.67267,-1.6546299999999998,0.87425,0.8562350000000001,0
0,2.15,23005,-1.596,0.8318675000000001,0.8318675000000001,1.0211767337208937,1.0211767337208937,1.110645754461857,0.13138999999999998,-1.5961599999999998,-1.5958400000000001,0.82948,0.834255,0
0,2.2,23006,-1.5273200000000002,0.75834,0.75834,4.2121580727272745,4.2121580727272745,1.510051041322298,0.15645625000000002,-1.53367,-1.52097,0.77074,0.74594,0
0,2.23,23007,-1.4695500000000001,0.6843325,0.7061675000000001,11.549469406950664,6.103448330717478,1.7076794224697758,0.17875125,-1.4592000000000003,-1.4799,0.6998150000000001,0.7125199999999999,1
0,2.25,23008,-1.408485,0.34690750000000004,0.5977325,52.694324256666654,10.571777056666667,1.95374259950619,0.20226249999999998,-1.40171,-1.4152599999999997,0.577115,0.61835,10
0,2.269185314213022,23009,-1.442575,0.656695,0.6706850000000001,11.764649904434313,8.49122025835177,1.9423374280048058,0.18957749999999998,-1.4125500000000002,-1.4726,0.60972,0.7316500000000001,10
0,2.29,23010,-1.36917,-0.3984625,0.5939125000000002,41.58575084606987,7.706328356986867,1.7058950897198633,0.21716,-1.35848,-1.37986,0.5669350000000001,0.62089,9
0,2.32,23011,-1.32322,-0.043327499999999984,0.5123675000000001,54.948119007543106,10.009639214439636,1.6718884958382787,0.233745,-1.32898,-1.31746,0.54977,0.474965,22
0,2.35,23012,-1.35669,0.19800000000000004,0.61841,66.06662127659574,7.645016493617007,1.7353259502036986,0.2227425,-1.3354000000000001,-1.37798,0.58125,0.65557,12
0,2.4,23013,-1.240765,0.20455249999999997,0.47129750000000004,37.89659370729168,7.849992332291662,1.3252961649305663,0.26868125,-1.24561,-1.23592,0.478,0.464595,33
0,2.5,23014,-1.099635,0.030402499999999975,0.2616175,16.138140079000003,5.335035391,0.8294538736000076,0.32628250000000003,-1.0931199999999999,-1.1061500000000002,0.24105500000000005,0.28218,99
0,2.7,23015,-0.958,-0.027822499999999997,0.1973075,8.570169776851852,2.9174056212962967,0.6158244170096042,0.39068,-0.9638900000000001,-0.95211,0.20959999999999998,0.18501499999999999,154
0,3.0,23016,-0.813275,-0.0075,0.13075499999999998,3.5568166666666663,1.2847339966666673,0.41207663888889023,0.46285750000000003,-0.8119599999999999,-0.81459,0.131865,0.12964499999999998,254
0,3.5,23017,-0.66703,-0.011435000000000002,0.10764,2.095998945714286,0.7867863314285711,0.24992911346938593,0.5452437500000001,-0.67103,-0.66303,0.110685,0.104595,336
1,1.5,23018,-1.9510550000000002,0.9864749999999999,0.9864749999999999,0.029806500000025455,0.029806500000025455,0.21131323999996918,0.013325000000000002,-1.9529500000000002,-1.9491600000000002,0.9870599999999999,0.9858899999999998,0
1,1.7,23019,-1.895165,0.9693299999999999,0.9693299999999999,0.06401202352942569,0.06401202352942569,0.34567097231822663,0.029680000000000005,-1.8949500000000001,-1.89538,0.96917,0.96949,0
1,1.9,23020,-1.80981,0.93782,0.93782,0.2175994947368403,0.2175994947368403,0.5992203767312974,0.057322500000000005,-1.8142399999999999,-1.80538,0.94007,0.93557,0
1,2.05,23021,-1.7219650000000002,0.9001175,0.9001175,0.5075168182926686,0.5075168182926686,0.8452957787032,0.0884825,-1.7309,-1.71303,0.9074800000000001,0.892755,0
1,2.1,23022,-1.67063,0.8777225,0.8777225,0.5336810464286071,0.5336810464286071,0.8250433650794212,0.10558624999999999,-1.6684700000000001,-1.67279,0.87527,0.8801749999999999,0
1,2.15,23023,-1.604855,0.8398375,0.8398375,0.8064206686046602,0.8064206686046602,0.9597645408328848,0.12899375000000002,-1.5931600000000001,-1.61655,0.835095,0.8445799999999999,0
1,2.2,23024,-1.537295,0.7699225,0.7704924999999999,4.988637544318179,4.828994535227297,1.618887022727265,0.15394249999999998,-1.52976,-1.54483,0.7476949999999999,0.7932899999999999,2
1,2.23,23025,-1.5144950000000001,0.767235,0.767235,2.6274806771300363,2.6274806771300363,1.4443922037442727,0.162865,-1.5158200000000002,-1.5131700000000001,0.772745,0.761725,0
1,2.25,23026,-1.5284899999999997,0.7967000000000001,0.7967000000000001,1.2863839999999627,1.2863839999999627,1.045342806913591,0.15774000000000002,-1.52949,-1.5274899999999998,0.7970900000000001,0.79631,0
1,2.269185314213022,23027,-1.47698,-0.753475,0.753475,2.196039132982056,2.196039132982056,1.2617783983450055,0.17655,-1.46673,-1.48723,0.742565,0.764385,0
1,2.29,23028,-1.4058,-0.1522075,0.6559275,77.50954400764192,6.404956723799136,1.490708415171285,0.20306124999999997,-1.38704,-1.42456,0.6069,0.7049549999999999,3
1,2.32,23029,-1.3856300000000001,-0.17059250000000004,0.6467625,74.21744593857758,7.114009671336194,1.6394919069560059,0.21051625000000002,-1.4036600000000001,-1.3676,0.665665,0.62786,11
1,2.35,23030,-1.2950300000000001,-0.453735,0.5022300000000001,16.66721272765958,8.776230144680849,1.45342863558172,0.245415,-1.28851,-1.3015500000000002,0.504995,0.49946500000000005,15
1,2.4,23031,-1.2572150000000002,0.3909875,0.49049249999999994,22.233897890625,7.61528665729167,1.292562067708319,0.26183375000000003,-1.23493,-1.2795,0.435965,0.54502,13
1,2.5,23032,-1.13384,0.11256500000000003,0.36968000000000006,26.752155324,6.913367615999992,1.160061081600003,0.31249875000000005,-1.11041,-1.15727,0.355435,0.38392500000000007,47
1,2.7,23033,-0.9618049999999999,-0.0519075,0.1904525,7.823362806481481,2.8488789250000006,0.5777444156378699,0.38999,-0.9644299999999999,-0.9591799999999999,0.191195,0.18971000000000002,143
1,3.0,23034,-0.811745,-0.01334,0.136205,3.7143625866666667,1.2645163966666673,0.39460466555556195,0.46301125000000004,-0.81198,-0.81151,0.12250499999999999,0.149905,241
1,3.5,23035,-0.6599749999999999,-0.0010374999999999987,0.0991675,1.758926982142857,0.635142222142857,0.24241793877550885,0.54707375,-0.6604099999999999,-0.65954,0.101845,0.09649,349
2,1.5,23036,-1.9494500000000003,0.98596,0.98596,0.031280906666678966,0.031280906666678966,0.2258306666667987,0.013560000000000003,-1.94737,-1.9515300000000002,0.9853799999999999,0.98654,0
2,1.7,23037,-1.9007,0.9711525000000001,0.9711525000000001,0.06310217499994053,0.06310217499994053,0.3306865051903748,0.028511250000000005,-1.9002800000000002,-1.90112,0.971105,0.9712000000000001,0
2,1.9,23038,-1.8087550000000001,0.9367624999999999,0.9367624999999999,0.2592275986842243,0.2592275986842243,0.6026371163434986,0.057721249999999995,-1.81276,-1.80475,0.940635,0.9328899999999999,0
2,2.05,23039,-1.709655,0.8944500000000001,0.8944500000000001,0.4628190243902275,0.4628190243902275,0.819315262343869,0.09153499999999999,-1.70444,-1.71487,0.8904050000000001,0.898495,0
2,2.1,23040,-1.666745,0.87258,0.87258,0.7697225904761723,0.7697225904761723,0.9392158707483107,0.10686500000000002,-1.6649699999999998,-1.66852,0.87061,0.87455,0
2,2.15,23041,-1.6253649999999997,0.8511025,0.8511025,1.038176184883702,1.038176184883702,1.0059462866414461,0.12258875000000001,-1.62957,-1.62116,0.849665,0.8525400000000001,0
2,2.2,23042,-1.53499,0.7720025,0.7720475,4.694609544318167,4.681976407954545,1.4827520578512405,0.15483125,-1.55985,-1.5101300000000002,0.81421,0.729885,2
2,2.23,23043,-1.523915,-0.79056,0.79056,1.8088406098654566,1.8088406098654566,1.1431094753564341,0.1584275,-1.5298800000000001,-1.5179500000000001,0.79371,0.78741,0
2,2.25,23044,-1.4653450000000001,0.6929025,0.6936475000000001,7.636522310000002,7.452881465555539,1.9350345461728213,0.18063125,-1.49233,-1.43836,0.75427,0.6330250000000001,2
2,2.269185314213022,23045,-1.451075,-0.7061375000000001,0.7061375000000001,4.691541660709238,4.691541660709238,1.3099656534712445,0.18558375000000002,-1.44285,-1.4593,0.7096800000000001,0.7025950000000001,0
2,2.29,23046,-1.4327800000000002,-0.3935325,0.6874325000000001,61.66057361462882,6.167890033842763,1.5562381800499907,0.19440125,-1.4773600000000002,-1.3882,0.7590100000000001,0.615855,5
2,2.32,23047,-1.28816,0.2819975,0.4156125,27.67946077478448,11.608571093749998,1.529095897740776,0.24718374999999998,-1.2650700000000001,-1.31125,0.367105,0.46412,48
2,2.35,23048,-1.286285,0.2154025,0.5151275000000001,46.77291923297871,9.503454679787213,1.9001357193300068,0.248575,-1.3319299999999998,-1.24064,0.5894149999999999,0.44084,22
2,2.4,23049,-1.24321,0.16328,0.474985,40.82595276666666,7.6675541291666605,1.3245344375000059,0.2674525,-1.20096,-1.28546,0.387905,0.562065,21
2,2.5,23050,-1.120525,0.047405,0.33191499999999996,24.137498556000004,6.870245244000006,1.0439663600000086,0.3171675,-1.1079700000000001,-1.1330799999999999,0.29289499999999996,0.370935,70
2,2.7,23051,-0.961875,-0.04383000000000001,0.19086,8.058089792592591,2.9460200592592587,0.637104766803836,0.38839375000000004,-0.9702999999999999,-0.95345,0.19807500000000003,0.183645,172
2,3.0,23052,-0.818235,-0.011852500000000002,0.1305225,3.6481974324999995,1.3954452658333325,0.39353932333333635,0.46097625,-0.82102,-0.81545,0.140275,0.12077000000000002,257
2,3.5,23053,-0.65562,0.012435,0.09940500000000001,1.7338852314285713,0.6222595399999997,0.23522663183673642,0.5490962500000001,-0.6511699999999999,-0.66007,0.10269999999999999,0.09611000000000001,329
3,1.5,23054,-1.9520149999999998,0.9868174999999999,0.9868174999999999,0.02533578500004315,0.02533578500004315,0.19036262666664294,0.013333750000000002,-1.95239,-1.9516399999999998,0.9869399999999998,0.986695,0
3,1.7,23055,-1.9006500000000002,0.97067,0.97067,0.07067672941171231,0.07067672941171231,0.3334501730103915,0.028648750000000004,-1.90275,-1.89855,0.9713800000000001,0.96996,0
3,1.9,23056,-1.80872,0.938245,0.938245,0.20957262631576531,0.20957262631576531,0.580173030470853,0.05786,-1.80158,-1.81586,0.934715,0.9417750000000001,0
3,2.05,23057,-1.71901,0.9022100000000001,0.9022100000000001,0.3237152975609361,0.3237152975609361,0.7153189672813486,0.08882625,-1.71627,-1.72175,0.90059,0.9038299999999999,0
3,2.1,23058,-1.66273,0.8715475000000001,0.8715475000000001,0.6954700464285273,0.6954700464285273,0.8808659501133875,0.10853375,-1.6684400000000001,-1.65702,0.8770300000000001,0.8660650000000001,0
3,2.15,23059,-1.6342399999999997,0.8602725,0.8602725,0.6061745569767677,0.6061745569767677,0.883394042184956,0.11907999999999999,-1.6437399999999998,-1.62474,0.8656050000000001,0.85494,0
3,2.2,23060,-1.57089,0.8247374999999999,0.8247374999999999,1.0561215625000322,1.0561215625000322,1.1366287520661198,0.14287,-1.5829699999999998,-1.55881,0.8363799999999999,0.813095,0
3,2.23,23061,-1.519395,0.7834500000000001,0.7834500000000001,2.531775336322854,2.531775336322854,1.3247227151158814,0.16095375,-1.51901,-1.5197800000000001,0.78577,0.78113,0
3,2.25,23062,-1.42373,0.1908425,0.6531425,77.3983027011111,8.03398883444445,1.735473548642009,0.19492,-1.44868,-1.3987800000000001,0.72165,0.584635,17
3,2.269185314213022,23063,-1.40467,0.6368225,0.6456375000000001,7.724347715329237,5.731582324297997,1.5448445128152877,0.20291875,-1.39421,-1.41513,0.62113,0.670145,2
3,2.29,23064,-1.3769200000000001,-0.0027574999999999362,0.5924225,70.16948623471616,8.866985850436693,1.7770685989969517,0.21425125,-1.40097,-1.3528699999999998,0.6346900000000001,0.550155,12
3,2.32,23065,-1.3900599999999999,0.6697000000000001,0.6702550000000002,4.845333620689646,4.717113788793075,1.47355799643283,0.21064125,-1.36325,-1.4168699999999999,0.62739,0.7131200000000001,12
3,2.35,23066,-1.328425,0.03604249999999996,0.5571175,61.685561820212754,9.076055947872325,1.6399579447713988,0.2338275,-1.31908,-1.33777,0.5525549999999999,0.5616800000000001,15
3,2.4,23067,-1.23885,0.2564475,0.46856749999999997,34.21863620729169,8.586939240625018,1.4304289930555443,0.26752625,-1.2125599999999999,-1.26514,0.41729999999999995,0.519835,27
3,2.5,23068,-1.0873249999999999,0.11742999999999999,0.2243,10.218611216000003,4.375301600000001,0.7509692399999942,0.33058124999999994,-1.10006,-1.07459,0.26484500000000005,0.183755,124
3,2.7,23069,-0.96574,-0.040275,0.19226,8.520959166666668,3.285132207407409,0.6276901179698203,0.38677374999999997,-0.9694400000000001,-0.96204,0.215025,0.169495,177
3,3.0,23070,-0.823265,-0.021890000000000007,0.14439999999999997,4.187257053333333,1.4709653333333341,0.38917287888889407,0.45887874999999995,-0.82556,-0.82097,0.14837999999999998,0.14042,229
3,3.5,23071,-0.661785,0.004112500000000001,0.1020625,1.836637125,0.6480838392857144,0.2510714702040809,0.54699875,-0.6592100000000001,-0.66436,0.10227000000000001,0.101855,356
4,1.5,23072,-1.949235,0.9858499999999999,0.9858499999999999,0.03215400000007307,0.03215400000007307,0.20589596000008492,0.013848750000000003,-1.9473200000000002,-1.9511500000000002,0.9853999999999998,0.9863,0
4,1.7,23073,-1.8949099999999999,0.96842,0.96842,0.09665967058821136,0.09665967058821136,0.37687085121098646,0.029910000000000003,-1.89678,-1.89304,0.9694449999999999,0.967395,0
4,1.9,23074,-1.81105,0.9383025,0.9383025,0.23477494605260077,0.23477494605260077,0.5695398891967214,0.0573375,-1.81154,-1.81056,0.93984,0.936765,0
4,2.05,23075,-1.7022150000000003,0.8870950000000001,0.8870950000000001,0.846738726829231,0.846738726829231,0.8753593123141122,0.09405625000000001,-1.69828,-1.70615,0.88312,0.8910699999999999,0
4,2.1,23076,-1.6538249999999999,0.86412,0.86412,0.7969143999999806,0.7969143999999806,0.9497886054421938,0.1107775,-1.64289,-1.66476,0.854345,0.873895,0
4,2.15,23077,-1.612665,0.8459099999999999,0.8459099999999999,0.8634319813953588,0.8634319813953588,0.9678440475932728,0.1252025,-1.60507,-1.62026,0.8394649999999999,0.852355,0
4,2.2,23078,-1.554975,0.7999625000000001,0.7999625000000001,2.078102017045401,2.078102017045401,1.2512313533057928,0.14703250000000004,-1.56426,-1.54569,0.8144000000000001,0.785525,0
4,2.23,23079,-1.531575,0.80148,0.80148,0.9701138295964193,0.9701138295964193,0.9860137444951844,0.15517250000000002,-1.53722,-1.5259299999999998,0.8040499999999999,0.7989100000000001,0
4,2.25,23080,-1.4713699999999998,-0.7301825,0.7301825,3.412356301111114,3.412356301111114,1.2790931832098782,0.17796625,-1.45891,-1.48383,0.70826,0.752105,0
4,2.269185314213022,23081,-1.486085,0.7565475,0.7565824999999999,2.5592608330069697,2.549925403296909,1.2444353750631114,0.173875,-1.4781999999999997,-1.49397,0.7501749999999999,0.7629900000000001,2
4,2.29,23082,-1.434185,-0.698965,0.698965,4.110262668122297,4.110262668122297,1.5586762857306629,0.19339749999999997,-1.46573,-1.4026399999999999,0.73914,0.65879,0
4,2.32,23083,-1.36527,0.5726800000000001,0.608875,15.768041827586185,8.394527478448255,1.6990953552319072,0.21940750000000003,-1.4083299999999999,-1.32221,0.7037,0.51405,20
4,2.35,23084,-1.2720950000000002,0.09072250000000003,0.4656075,44.66949625425533,9.169960586170225,1.3471696496152061,0.25425375,-1.29443,-1.2497600000000002,0.529625,0.40159000000000006,40
4,2.4,23085,-1.227985,-0.2736375,0.4270825,26.829555182291667,8.909225115625008,1.2275965121527734,0.27265875,-1.24803,-1.20794,0.48535999999999996,0.368805,44
4,2.5,23086,-1.143975,0.026679999999999992,0.34934,26.518616415999997,7.106358304000002,1.0447327600000076,0.30754375000000006,-1.13313,-1.1548200000000002,0.313905,0.384775,68
4,2.7,23087,-0.969485,-0.026122500000000003,0.2073875,9.28248555462963,3.011790717592593,0.5779634993141296,0.38522,-0.9772000000000001,-0.96177,0.224625,0.19015,140
4,3.0,23088,-0.8219249999999999,-0.026375000000000003,0.13315,3.7801879166666663,1.509083666666667,0.3799397500000042,0.46006125,-0.82347,-0.82038,0.130485,0.135815,275
4,3.5,23089,-0.65538,0.00042500000000000074,0.091245,1.4756279285714284,0.5241457114285712,0.2703920195918389,0.5488399999999999,-0.6528099999999999,-0.65795,0.09287000000000001,0.08962,369
