replicate,temperature,seed,lattice_size,n_spins,coupling,field,boltzmann_constant,initial_state,burn_in_sweeps,production_sweeps,sample_every,n_recorded_samples,mean_total_energy,mean_energy_squared,mean_energy_per_spin,mean_signed_magnetisation,mean_magnetisation_squared,mean_absolute_magnetisation,mean_acceptance_fraction,first_half_mean_energy_per_spin,second_half_mean_energy_per_spin,first_half_mean_absolute_magnetisation,second_half_mean_absolute_magnetisation
1,2.1,23022,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-668.252,448016.112,-1.6706299999999998,0.8777225,0.7731986125000001,0.8777225,0.10558624999999999,-1.6684700000000001,-1.67279,0.87527,0.8801749999999999
1,2.15,23023,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-641.942,413864.136,-1.604855,0.8398375,0.7096615375,0.8398375,0.12899375000000002,-1.5931600000000001,-1.61655,0.835095,0.8445799999999999
1,2.2,23024,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-614.918,381258.312,-1.537295,0.7699225,0.6202181625,0.7704924999999999,0.15394249999999998,-1.52976,-1.54483,0.7476949999999999,0.7932899999999999
1,2.23,23025,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-605.798,369864.344,-1.514495,0.767235,0.60329775,0.767235,0.162865,-1.5158200000000002,-1.5131700000000001,0.772745,0.761725
1,2.25,23026,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-611.396,375921.888,-1.52849,0.7967000000000001,0.6419668,0.7967000000000001,0.15774000000000002,-1.52949,-1.5274899999999998,0.7970900000000001,0.79631
1,2.269185314213022,23027,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-590.792,351634.048,-1.4769800000000002,-0.753475,0.580182625,0.753475,0.17655,-1.46673,-1.48723,0.742565,0.764385
1,2.29,23028,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-562.32,319330.752,-1.4058000000000002,-0.1522075,0.46690926250000003,0.6559275,0.20306124999999997,-1.38704,-1.42456,0.6069,0.7049549999999999
1,2.32,23029,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-554.252,310725.04,-1.38563,-0.17059250000000004,0.45956298749999996,0.6467625,0.21051625000000002,-1.4036600000000001,-1.3676,0.665665,0.62786
1,2.35,23030,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-518.012,271547.056,-1.29503,-0.453735,0.30379532500000006,0.5022300000000001,0.245415,-1.28851,-1.3015500000000002,0.504995,0.49946500000000005
1,2.4,23031,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-502.886,255872.392,-1.257215,0.3909875,0.28627461249999997,0.49049249999999994,0.26183375000000003,-1.23493,-1.2795,0.435965,0.54502
1,2.5,23032,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-453.536,208595.056,-1.13384,0.11256500000000003,0.17987185,0.36968000000000006,0.31249875000000005,-1.11041,-1.15727,0.355435,0.38392500000000007
1,2.7,23033,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-384.722,149695.72,-0.9618049999999999,-0.0519075,0.055502087500000005,0.1904525,0.38999,-0.9644299999999999,-0.9591799999999999,0.191195,0.18971000000000002
1,3.0,23034,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-324.698,106849.368,-0.8117449999999999,-0.01334,0.028035675000000003,0.136205,0.46301125000000004,-0.81198,-0.81151,0.12250499999999999,0.149905
1,3.5,23035,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-263.99,70878.568,-0.659975,-0.0010374999999999987,0.015391687499999999,0.0991675,0.54707375,-0.6604099999999999,-0.65954,0.101845,0.09649
2,1.5,23036,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-779.78,608260.096,-1.94945,0.98596,0.9722344249999999,0.98596,0.013560000000000003,-1.94737,-1.9515300000000002,0.9853799999999999,0.98654
2,1.7,23037,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-760.28,578407.952,-1.9006999999999998,0.9711525000000001,0.9434053625,0.9711525000000001,0.028511250000000005,-1.9002800000000002,-1.90112,0.971105,0.9712000000000001
