temperature,seed,initial_state,mean_energy_per_spin,mean_signed_magnetisation,mean_absolute_magnetisation,mean_acceptance_fraction
1.5,22901,random,-1.951785,0.9868299999999999,0.9868299999999999,0.013156250000000001
2.269185314213022,22902,random,-1.437785,-0.6416000000000001,0.66869,0.19137875
3.5,22903,random,-0.6583950000000001,-0.0009075000000000006,0.0955975,0.54753
