temperature_index,temperature,split_name,initial_state,configuration_count,chain_count,mean_energy_per_spin,mean_signed_magnetisation,mean_absolute_magnetisation,mean_acceptance_fraction
10,2.29,validation,up,50,1,-1.3688,0.2492,0.59,0.21486875000000003
11,2.32,test,down,50,1,-1.3744,0.2601,0.6269,0.22360375
11,2.32,test,up,50,1,-1.2986000000000002,0.0464,0.4612,0.2409075
11,2.32,train,down,50,1,-1.3372,0.5236,0.5956,0.22153124999999999
11,2.32,train,up,50,1,-1.3478,0.06380000000000001,0.5761999999999999,0.226025
11,2.32,validation,down,50,1,-1.3763999999999998,0.6123000000000001,0.6271,0.21200375000000002
11,2.32,validation,up,50,1,-1.381,0.6182,0.6208,0.21636375000000002
12,2.35,test,down,50,1,-1.334,0.5694,0.5836,0.23417125
12,2.35,test,up,50,1,-1.3196,0.2897,0.5811,0.23192750000000004
12,2.35,train,down,50,1,-1.337,0.5764,0.5932,0.23575749999999998
12,2.35,train,up,50,1,-1.3516,-0.1353,0.6104999999999999,0.22541375
12,2.35,validation,down,50,1,-1.3458,0.6138,0.6254,0.22553875
12,2.35,validation,up,50,1,-1.296,0.5321,0.5465,0.23801375
13,2.4,test,down,50,1,-1.2212,-0.3923,0.4535,0.26668
13,2.4,test,up,50,1,-1.2638,0.0661,0.5267000000000001,0.25929625
13,2.4,train,down,50,1,-1.2212,-0.1508,0.4138,0.27081875
13,2.4,train,up,50,1,-1.2506,-0.4436,0.5286,0.25495625
13,2.4,validation,down,50,1,-1.2996,-0.5856,0.5856,0.24561875
13,2.4,validation,up,50,1,-1.2472,0.2297,0.4803,0.2642525
14,2.5,test,down,50,1,-1.1456,0.003799999999999998,0.3712,0.31184875
14,2.5,test,up,50,1,-1.1504,0.1467,0.4261,0.30994
14,2.5,train,down,50,1,-1.0874,-0.0004999999999999938,0.3057,0.32195125
14,2.5,train,up,50,1,-1.1572,0.2051,0.3453,0.31044625
14,2.5,validation,down,50,1,-1.131,-0.0959,0.3329,0.3182325
14,2.5,validation,up,50,1,-1.1188,-0.09020000000000002,0.2652,0.32618749999999996
